pole_rs111,pole_rs211_low,pole_rs211_high,pole_rs221,pole_rs222
NaN + NaN*im,6.19164642814361 - 6.282654652558543e-14im,6.891753537595975 + 0.20802892396386335im,NaN + NaN*im,NaN + NaN*im
6.16550042385361 - 4.030856811837615e-17im,NaN + NaN*im,6.859693869901196 + 0.08228325980183658im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.18344232809793 - 1.2323098130163985e-13im,6.852326364374301 + 0.12687443502752888im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.189831364181722 - 4.038645203984787e-12im,6.882176244512769 + 0.14282333697705632im,NaN + NaN*im,NaN + NaN*im
6.167161110794889 + 4.4697236483231875e-17im,NaN + NaN*im,6.855142968474187 + 0.08155067696951306im,NaN + NaN*im,NaN + NaN*im
6.180112436871864 + 2.203773504714516e-12im,NaN + NaN*im,6.897495380668927 + 0.11443588214882763im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.190721041448628 - 6.512913823878033e-11im,6.882105862386931 + 0.15365465878838794im,NaN + NaN*im,NaN + NaN*im
6.17287746182767 + 1.7215695028903615e-10im,NaN + NaN*im,6.8629660936568495 + 0.08977607849573407im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.18615230493781 - 5.580981794359184e-15im,6.8702236786875135 + 0.16012267090480478im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.190581838840535 - 4.696530008874412e-11im,6.891034918107295 + 0.2213004284118422im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.191668921047494 - 8.246421860671261e-14im,6.875969120425008 + 0.24479726626061227im,NaN + NaN*im,NaN + NaN*im
6.176701927685589 + 2.8701526901748803e-11im,NaN + NaN*im,6.879916951498454 + 0.10150023934031507im,NaN + NaN*im,NaN + NaN*im
6.178509443228055 + 8.97329503369036e-12im,NaN + NaN*im,6.88477890735692 + 0.10568136115319926im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.186528321748976 - 1.7742218386763659e-15im,6.873278952512399 + 0.1642279520597285im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.189095275033418 + 1.923344446830328e-11im,6.895522283644102 + 0.18902635855558342im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.187135111000661 + 9.749706060858434e-18im,6.88089448638979 + 0.16816915305720456im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.190095853078622 + 7.1934950441906875e-12im,6.864780007801926 + 0.24350315754912052im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.191420131313665 - 5.985539067489395e-15im,6.894947876117997 + 0.20080758821278458im,NaN + NaN*im,NaN + NaN*im
6.169271462503476 - 6.2713979236681485e-18im,NaN + NaN*im,6.857146210148394 + 0.08410374095804321im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.186991065885928 - 1.7824910387693763e-16im,6.874721005842044 + 0.17314914391628053im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.190083909655748 + 6.723921482625959e-12im,6.889273014845697 + 0.21848197291091104im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.1913737765212575 - 3.690280761330854e-15im,6.879968815386759 + 0.16170497586249022im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.1853792079829555 - 2.864925799586329e-14im,6.871093106248782 + 0.1367779716615554im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.191310794859336 - 2.2160371116517274e-15im,6.873456263265488 + 0.24744078636889463im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.186074440271579 - 6.839950484832822e-15im,6.870989752815855 + 0.15622424944775093im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.1888643942728185 - 3.3821224491825076e-13im,6.899782376081775 + 0.1741753973896585im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.186660280166091 - 1.005231901149557e-15im,6.873152271548517 + 0.16774041714389068im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.188490677066591 - 1.2663716582233496e-10im,6.8941907779271885 + 0.174346396654468im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.189196173081143 + 1.8033453036241352e-11im,6.891221180616336 + 0.20044529650919374im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.189611366516497 - 4.148809642489752e-12im,6.889570554637588 + 0.14682351849771777im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.185488777425916 - 2.3715018452611986e-14im,6.871750344494541 + 0.13721378475206875im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.188827395069842 - 7.319463013223349e-12im,6.886100942613166 + 0.20460114503844598im,NaN + NaN*im,NaN + NaN*im
6.168753419982401 + 2.5719717658037636e-17im,NaN + NaN*im,6.8557539609260845 + 0.08306738954846857im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.189429369982512 + 4.847114018635102e-12im,6.89958779847129 + 0.17140765475733932im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.191865954497136 - 5.075197725163843e-13im,6.885734022542369 + 0.18441340283632213im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.189182329450567 + 1.7756452540357537e-11im,6.882524740318785 + 0.13636240119227488im,NaN + NaN*im,NaN + NaN*im
6.163109029469389 - 3.775324859431739e-17im,NaN + NaN*im,6.854141575519399 + 0.07929544776072821im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.1887957160334715 - 1.4078588117058727e-11im,6.895617114201098 + 0.17936027639594104im,NaN + NaN*im,NaN + NaN*im
6.16116938039381 + 3.924266711014823e-17im,NaN + NaN*im,6.851947404404213 + 0.07354417556950645im,NaN + NaN*im,NaN + NaN*im
6.165677925991271 - 2.9326654642301905e-19im,NaN + NaN*im,6.862315337834685 + 0.08209087833913926im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.187254242273845 + 1.3388170633504552e-16im,6.869385350866574 + 0.13753958666447752im,NaN + NaN*im,NaN + NaN*im
6.182540874734023 + 1.0839154094812115e-14im,NaN + NaN*im,6.895431582446859 + 0.13969548760886188im,NaN + NaN*im,NaN + NaN*im
6.184199871388775 - 3.171985795805396e-14im,NaN + NaN*im,6.8907362668752805 + 0.14863592881693405im,NaN + NaN*im,NaN + NaN*im
6.16116938039381 + 3.924266711014823e-17im,NaN + NaN*im,6.851947404404213 + 0.07354417556950645im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.1898732195822115 - 2.571360853832146e-12im,6.830558969437565 + 0.18085989213125866im,NaN + NaN*im,NaN + NaN*im
6.1622612887808055 + 9.859021378002646e-18im,NaN + NaN*im,6.854360092401222 + 0.07551064170874724im,NaN + NaN*im,NaN + NaN*im
6.1622612887808055 + 9.859021378002646e-18im,NaN + NaN*im,6.854360092401222 + 0.07551064170874724im,NaN + NaN*im,NaN + NaN*im
6.184896045998213 - 1.556568915866034e-14im,NaN + NaN*im,6.888990047912564 + 0.15258794748530366im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.189505769088032 + 2.27481948488506e-13im,6.803386983659982 + 0.14427528195637215im,NaN + NaN*im,NaN + NaN*im
