pole_rs111,pole_rs211_low,pole_rs211_high,pole_rs221,pole_rs222
6.168854042599285 + 3.9028120209934054e-10im,NaN + NaN*im,6.9518581730418845 + 0.17983651124700006im,NaN + NaN*im,NaN + NaN*im
6.169877319976066 + 3.115607342244923e-10im,NaN + NaN*im,6.940049380738646 + 0.16341553014722593im,NaN + NaN*im,NaN + NaN*im
6.170429506501293 + 2.7834237673338223e-10im,NaN + NaN*im,6.930600537823533 + 0.14980758563523774im,NaN + NaN*im,NaN + NaN*im
6.170738162694999 + 2.644764610765758e-10im,NaN + NaN*im,6.923143607236365 + 0.1387466551819316im,NaN + NaN*im,NaN + NaN*im
6.1706782800337185 + 2.7942084599799237e-10im,NaN + NaN*im,6.917635559851674 + 0.12906509246254572im,NaN + NaN*im,NaN + NaN*im
6.17052503891726 + 3.0199407397821953e-10im,NaN + NaN*im,6.914685984738044 + 0.12111332430492809im,NaN + NaN*im,NaN + NaN*im
6.1701254227709725 + 3.490444227120565e-10im,NaN + NaN*im,6.914275526432226 + 0.11388371700403005im,NaN + NaN*im,NaN + NaN*im
6.1695004817650485 - 2.4624568060337722e-17im,NaN + NaN*im,6.918439217903839 + 0.10713549355403983im,NaN + NaN*im,NaN + NaN*im
6.1691396134990795 + 1.063616376735081e-17im,NaN + NaN*im,6.925089586079846 + 0.10395887506871734im,NaN + NaN*im,NaN + NaN*im
6.168619802873681 - 2.2974458026592306e-17im,NaN + NaN*im,6.929958889853494 + 0.10161212411740332im,NaN + NaN*im,NaN + NaN*im
6.167557841371249 - 3.773748625415489e-17im,NaN + NaN*im,6.945920217254443 + 0.09851129219551134im,NaN + NaN*im,NaN + NaN*im
6.165972749182062 - 4.4960244142462245e-18im,NaN + NaN*im,6.9852106828300995 + 0.10122474731725256im,NaN + NaN*im,NaN + NaN*im
6.165036916980163 - 1.7469783015083874e-17im,NaN + NaN*im,7.009343742177379 + 0.10715971350560576im,NaN + NaN*im,NaN + NaN*im
6.163276480043808 + 3.3386112567987036e-17im,NaN + NaN*im,7.049041215166417 + 0.12296904379539197im,NaN + NaN*im,NaN + NaN*im
6.161741870077 - 1.4816384685794702e-18im,NaN + NaN*im,7.086764716932329 + 0.14551463553067343im,NaN + NaN*im,NaN + NaN*im
6.159994341495743 + 9.335303140102966e-18im,NaN + NaN*im,7.11984954906684 + 0.17016524299941024im,NaN + NaN*im,NaN + NaN*im
6.1566027561663885 + 4.776479504623961e-17im,NaN + NaN*im,7.181912270729663 + 0.23481522380476214im,NaN + NaN*im,NaN + NaN*im
6.152991192341489 + 1.091152276341073e-16im,NaN + NaN*im,7.233888561658552 + 0.31704820770668585im,NaN + NaN*im,NaN + NaN*im
6.149840775572769 + 2.277976369863509e-16im,NaN + NaN*im,7.253815862976279 + 0.3694381941483467im,NaN + NaN*im,NaN + NaN*im
6.1466063180012105 + 2.9347193536911597e-16im,NaN + NaN*im,7.257388605978553 + 0.4163461523896437im,NaN + NaN*im,NaN + NaN*im
6.143426561462833 + 4.1275176020234433e-16im,NaN + NaN*im,7.233649115419887 + 0.44015619957869745im,NaN + NaN*im,NaN + NaN*im
6.143094064420886 + 4.33764872494129e-16im,NaN + NaN*im,7.202406148415457 + 0.43856855621951035im,NaN + NaN*im,NaN + NaN*im
6.14312769914722 + 3.465936463608388e-16im,NaN + NaN*im,7.176432808599405 + 0.4232358551990714im,NaN + NaN*im,NaN + NaN*im
6.143906086902013 + 3.046214432887141e-16im,NaN + NaN*im,7.156350525470361 + 0.41047320829206985im,NaN + NaN*im,NaN + NaN*im
6.142601816839778 + 4.244121381769777e-16im,NaN + NaN*im,7.197838371324614 + 0.4377023611988141im,NaN + NaN*im,NaN + NaN*im
6.1323753635930895 + 3.0598120513127615e-15im,NaN + NaN*im,7.194043291241177 + 0.27194214771986625im,NaN + NaN*im,NaN + NaN*im
6.13165009254173 + 4.5834820682102234e-15im,NaN + NaN*im,7.1499244684248735 + 0.1887863176732051im,NaN + NaN*im,NaN + NaN*im
6.133762339999542 + 4.761564922018928e-15im,NaN + NaN*im,7.083102281648499 + 0.12349981101427907im,NaN + NaN*im,NaN + NaN*im
6.137589000643931 + 3.452556039650567e-15im,NaN + NaN*im,7.030570375165449 + 0.09389030259138584im,NaN + NaN*im,NaN + NaN*im
6.141900141142334 + 2.1271176595597314e-15im,NaN + NaN*im,6.988568392296845 + 0.0822467944647632im,NaN + NaN*im,NaN + NaN*im
6.1464305587801435 + 1.0212690042417717e-15im,NaN + NaN*im,6.95805701413524 + 0.0796827276025502im,NaN + NaN*im,NaN + NaN*im
6.151257388875282 + 3.665996100085585e-16im,NaN + NaN*im,6.936156313233797 + 0.08159402913941037im,NaN + NaN*im,NaN + NaN*im
6.153706145551317 + 2.0591330912210394e-16im,NaN + NaN*im,6.9283358994138355 + 0.0833274663767178im,NaN + NaN*im,NaN + NaN*im
6.156304865265698 + 8.680581909769487e-17im,NaN + NaN*im,6.922284564689793 + 0.08560045372293251im,NaN + NaN*im,NaN + NaN*im
6.159024257501821 + 3.2002880881750856e-17im,NaN + NaN*im,6.917620114419908 + 0.08832363833221354im,NaN + NaN*im,NaN + NaN*im
6.162072976967589 - 1.6267921224702755e-17im,NaN + NaN*im,6.915796178877674 + 0.09184168948611984im,NaN + NaN*im,NaN + NaN*im
6.165439836193971 - 4.703542523239853e-18im,NaN + NaN*im,6.915868334120749 + 0.09684451390754258im,NaN + NaN*im,NaN + NaN*im
6.169342705763381 + 3.9960755214409855e-18im,NaN + NaN*im,6.92136419290878 + 0.10462954729431248im,NaN + NaN*im,NaN + NaN*im
6.172991384243037 + 1.3579078143599068e-10im,NaN + NaN*im,6.933396328469822 + 0.11590866064412973im,NaN + NaN*im,NaN + NaN*im
6.175821695859741 + 3.862165751739148e-11im,NaN + NaN*im,6.950239529810846 + 0.13101917640870514im,NaN + NaN*im,NaN + NaN*im
6.1789117033867855 + 5.252652924964593e-12im,NaN + NaN*im,6.982439635069747 + 0.16717115241507335im,NaN + NaN*im,NaN + NaN*im
6.1802167060806585 + 1.4960629439451785e-12im,NaN + NaN*im,7.0092007798836224 + 0.21308617683863695im,NaN + NaN*im,NaN + NaN*im
6.180164852714356 + 1.444393513716687e-12im,NaN + NaN*im,7.0278680800396 + 0.2602651750986309im,NaN + NaN*im,NaN + NaN*im
6.179745022374366 + 2.078244862793066e-12im,NaN + NaN*im,7.03529388890498 + 0.28412488522343127im,NaN + NaN*im,NaN + NaN*im
6.1790736578911725 + 3.5456976573586694e-12im,NaN + NaN*im,7.041750877870933 + 0.3075501148914184im,NaN + NaN*im,NaN + NaN*im
6.1781222027382405 + 6.853274307150667e-12im,NaN + NaN*im,7.048016606482404 + 0.33065560048070247im,NaN + NaN*im,NaN + NaN*im
6.176880099977409 + 1.4175226480796579e-11im,NaN + NaN*im,7.054329094368262 + 0.3534559514969528im,NaN + NaN*im,NaN + NaN*im
6.175473895104359 + 2.806217740019015e-11im,NaN + NaN*im,7.061443836254712 + 0.37846354267032645im,NaN + NaN*im,NaN + NaN*im
6.173420428350017 + 6.46084068720132e-11im,NaN + NaN*im,7.069285439331929 + 0.39874879306878946im,NaN + NaN*im,NaN + NaN*im
6.171212152578776 + 1.3257585758180173e-10im,NaN + NaN*im,7.077815018600568 + 0.422137851251965im,NaN + NaN*im,NaN + NaN*im
6.168151452051515 + 2.996688021697242e-10im,NaN + NaN*im,7.0896892060372885 + 0.441080580890798im,NaN + NaN*im,NaN + NaN*im
6.164529935427892 + 6.430034743730453e-10im,NaN + NaN*im,7.104306909466074 + 0.460415397986345im,NaN + NaN*im,NaN + NaN*im
6.159927518663729 - 1.2099541810317866e-17im,NaN + NaN*im,7.1246571720024745 + 0.4771257175706799im,NaN + NaN*im,NaN + NaN*im
6.153382211096994 + 4.227231991479057e-17im,NaN + NaN*im,7.152702312613749 + 0.48025871350978216im,NaN + NaN*im,NaN + NaN*im
6.142600638304766 + 4.2356725920803848e-16im,NaN + NaN*im,7.197910298866443 + 0.4378726421147495im,NaN + NaN*im,NaN + NaN*im
6.132265953250396 + 2.6008374914205132e-15im,NaN + NaN*im,7.18620967369928 + 0.30371190750138055im,NaN + NaN*im,NaN + NaN*im
6.169361353561816 + 1.2209908280150177e-17im,NaN + NaN*im,6.921693452770311 + 0.10461474507222908im,NaN + NaN*im,NaN + NaN*im
6.1751492144612685 + 5.444101195821922e-11im,NaN + NaN*im,6.941832142134115 + 0.12639515814831487im,NaN + NaN*im,NaN + NaN*im
6.142558964190538 + 3.890043593823738e-16im,NaN + NaN*im,7.196730955151167 + 0.43667812055881855im,NaN + NaN*im,NaN + NaN*im
6.148652502540083 + 1.2404687828390004e-16im,NaN + NaN*im,7.181851817650108 + 0.4801138747970853im,NaN + NaN*im,NaN + NaN*im
6.153859236298186 + 3.017269621359206e-17im,NaN + NaN*im,7.164904237908369 + 0.5012305489463803im,NaN + NaN*im,NaN + NaN*im
6.158108920373665 - 1.4673350682223564e-17im,NaN + NaN*im,7.147275589124272 + 0.5047215102831669im,NaN + NaN*im,NaN + NaN*im
6.161864452016242 - 1.8468354416582123e-17im,NaN + NaN*im,7.1336092273192655 + 0.503130203752523im,NaN + NaN*im,NaN + NaN*im
6.165044158888552 + 5.687385182710178e-10im,NaN + NaN*im,7.121099757814637 + 0.4945217148422005im,NaN + NaN*im,NaN + NaN*im
6.16781033395072 + 3.1530109590461046e-10im,NaN + NaN*im,7.110859623888448 + 0.4827638089038865im,NaN + NaN*im,NaN + NaN*im
6.172288829109374 + 9.214335692378988e-11im,NaN + NaN*im,7.094270007555671 + 0.4512817380505069im,NaN + NaN*im,NaN + NaN*im
6.175553535962883 + 2.6264869672848674e-11im,NaN + NaN*im,7.082524705307796 + 0.4153022095082568im,NaN + NaN*im,NaN + NaN*im
6.177852587626949 + 7.829039147557526e-12im,NaN + NaN*im,7.072892934051318 + 0.3758584917193201im,NaN + NaN*im,NaN + NaN*im
6.179317930052632 + 2.8487633785519035e-12im,NaN + NaN*im,7.063798198128644 + 0.334618723907894im,NaN + NaN*im,NaN + NaN*im
6.180054283262226 + 1.5614101621501656e-12im,NaN + NaN*im,7.053081169592605 + 0.29226111079699146im,NaN + NaN*im,NaN + NaN*im
6.180072755159413 + 1.678813082595064e-12im,NaN + NaN*im,7.033982821668158 + 0.2378450406576517im,NaN + NaN*im,NaN + NaN*im
6.179038190105821 + 4.60334508172056e-12im,NaN + NaN*im,7.006052134875552 + 0.18612975506825055im,NaN + NaN*im,NaN + NaN*im
6.1765518638245895 + 2.5665273123476383e-11im,NaN + NaN*im,6.969210845889682 + 0.14167820755298868im,NaN + NaN*im,NaN + NaN*im
6.174247260241889 + 8.087235532510493e-11im,NaN + NaN*im,6.946606925526373 + 0.12287541449344885im,NaN + NaN*im,NaN + NaN*im
